"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"4","Insulating End Disc, 3.8V, 220F Lithium Hybrid Capacitor A (NAUO629)","Provided Part","1","","","","","In Work","","","","","","112128144","Insulating End Disc, 3.8V, 220F Lithium Hybrid Capacitor","prvd-R1132101478896-00001867","A","","","","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO629","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Assy PCB Terminal <2> A (NAUO639)","Provided Part","1","","","","","In Work","","","","","","112128144","Assy PCB Terminal <2>","prvd-R1132101478896-00001789","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO639","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Assy PCB Terminal <1> A (NAUO645)","Provided Part","1","","","","","In Work","","","","","","112128144","Assy PCB Terminal <1>","prvd-R1132101478896-00001790","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO645","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Outer Body Subassy, 3.8V, 220F Lithium Hybrid Capacitor <3> A (NAUO650)","Provided Part","1","","","","","In Work","","","","","","112128144","Outer Body Subassy, 3.8V, 220F Lithium Hybrid Capacitor <3>","prvd-R1132101478896-00001791","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO650","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","ER-TFTM1.14-1 <1> A (NAUO693)","Provided Part","1","","","","","In Work","","","","","","112128144","ER-TFTM1.14-1 <1>","prvd-R1132101478896-00001792","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO693","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","MAGTOP INDUCTOR v2 <1> A (NAUO727)","Provided Part","1","","","","","In Work","","","","","","112128144","MAGTOP INDUCTOR v2 <1>","prvd-R1132101478896-00001793","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO727","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Outer Body Subassy, 3.8V, 220F Lithium Hybrid Capacitor <2> A (NAUO732)","Provided Part","1","","","","","In Work","","","","","","112128144","Outer Body Subassy, 3.8V, 220F Lithium Hybrid Capacitor <2>","prvd-R1132101478896-00001794","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO732","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","VESC_6_EDU_Assy <1> A (NAUO758)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","VESC_6_EDU_Assy <1>","mass-R1132101478896-00000619","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO758","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","VESC_6_EDU_Assy <1> A (NAUO758)","Provided Part","1","","","","","In Work","","","","","","112128144","VESC_6_EDU_Assy <1>","prvd-R1132101478896-00001755","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO758","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Nvidia Jetson Nano Assy <1> A (NAUO1679)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Nvidia Jetson Nano Assy <1>","mass-R1132101478896-00000620","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO1679","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","245-83450-0000-000_ASM <1> A (NAUO1678)","Provided Part","1","","","","","In Work","","","","","","112128144","245-83450-0000-000_ASM <1>","prvd-R1132101478896-00001816","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO1678","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Lidar Assy <1> A (NAUO764)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Lidar Assy <1>","mass-R1132101478896-00000621","A","","","No","0s","0","","","","False","","0kg","","06/15/2024","","06/15/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO764","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Lidar Power Cable A (NAUO759)","Provided Part","1","","","","","In Work","","","","","","112128144","Lidar Power Cable","prvd-R1132101478896-00001817","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO759","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","B2 A (NAUO760)","Provided Part","1","","","","","In Work","","","","","","112128144","B2","prvd-R1132101478896-00001818","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO760","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","ISO 7380-1 M3x16mm A (NAUO761)","Provided Part","1","","","","","In Work","","","","","","112128144","ISO 7380-1 M3x16mm","prvd-R1132101478896-00001760","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO761","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","ISO 7380-1 M3x16mm A (NAUO762)","Provided Part","1","","","","","In Work","","","","","","112128144","ISO 7380-1 M3x16mm","prvd-R1132101478896-00001760","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO762","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Part18 A (NAUO763)","Provided Part","1","","","","","In Work","","","","","","112128144","Part18","prvd-R1132101478896-00001819","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO763","","06/15/2024","06/15/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"2","Rear Axle Assembly A (Rear Axle Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Rear Axle Assembly","mass-R1132101478896-00000608","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Rear Axle Assembly.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Rear Assy <1> A (NAUO225)","Provided Part","1","","","","","In Work","","","","","","112128144","Rear Assy <1>","prvd-R1132101478896-00001839","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO225","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
