"Depth","Display Name","Type","Continuous Quantity","Dictionary","Current Expression","Projected Expression","Variant Expression","Maturity State(R)","Current Evolution Expression","Description(R)","Planning Required(R)","Projected Evolution Expression","Bundle","B.I.","Title(R)","Name(R)","Revision(R)","Revision Comment(R)","Number of Manufacturing Assembly(R)","Outsourced(R)","Estimated Time(R)","Estimated Cost(R)","Estimated Cost currency(R)","Lead Time Description(R)","Manufactured Item classification(R)","Spare Manufactured Item(R)","Material Category(R)","Estimated Weight(R)","Target Release date(R)","Creation date(R)","Created From(R)","Last modification(R)","Collaborative Policy(R)","Owner(R)","Organization(R)","Collaborative Space(R)","Is Lot Number Required(R)","Is Serial Number Required(R)","Operation State(R)","Planned Start(R)","Planned End(R)","Actual Start(R)","Actual End(R)","Name","Description","Creation date","Last modification","Owner","Organization","Collaborative Space","Deformed Part","Quantity","Torque code","Nominal fastening torque","Torque maximum lower deviation","Torque maximum upper deviation","Entry hole depth","Entry hole countersunk angle","Entry hole type","Entry hole counterbore diameter","Assembly clearance","Boring code","Nominal drilling diameter","Drilling diameter maximum lower deviation","Drilling diameter maximum upper deviation","Head orientation","Quantity(R)"
"5","C-Hub R A (NAUO373)","Provided Part","1","","","","","In Work","","","","","","112128144","C-Hub R","prvd-R1132101478896-00001553","A","","","","0s","0","","","","False","","0kg","","04/10/2024","","04/10/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO373","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Front Assembly Structure A (Front Assembly Structure .1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Front Assembly Structure","mass-R1132101478896-00000342","A","","","No","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","Front Assembly Structure .1","","05/02/2024","05/02/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Front Bulkhead Tie Bar A (NAUO276)","Provided Part","1","","","","","In Work","","","","","","112128144","Front Bulkhead Tie Bar","prvd-R1132101478896-00001833","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO276","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Shock Tower Front A (NAUO264)","Provided Part","1","","","","","In Work","","","","","","112128144","Shock Tower Front","prvd-R1132101478896-00001834","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO264","","05/02/2024","05/02/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Front Bulkhead A (NAUO239)","Provided Part","1","","","","","In Work","","","","","","112128144","Front Bulkhead","prvd-R1132101478896-00001835","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO239","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas 3655X Suspension Arm Left A (NAUO420)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas 3655X Suspension Arm Left","prvd-R1132101478896-00001836","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO420","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","Traxxas 3655X Suspension Arm Right A (NAUO318)","Provided Part","1","","","","","In Work","","","","","","112128144","Traxxas 3655X Suspension Arm Right","prvd-R1132101478896-00001837","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO318","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","TRX 6834 Suspension Pin_Duplicate_13 A (NAUO228)","Provided Part","1","","","","","In Work","","","","","","112128144","TRX 6834 Suspension Pin_Duplicate_13","prvd-R1132101478896-00001838","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO228","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"4","TRX 6834 Suspension Pin_Duplicate_13 A (NAUO236)","Provided Part","1","","","","","In Work","","","","","","112128144","TRX 6834 Suspension Pin_Duplicate_13","prvd-R1132101478896-00001838","A","","","","0s","0","","","","False","","0kg","","05/02/2024","","05/02/2024","Engineering Definition","nerkaraditi","Company Name","Common Space","False","False","","","","","","NAUO236","","05/02/2024","06/14/2024","nerkaraditi","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
"3","Bell Crank Assembly A (Bell Crank Assembly.1)","Manufacturing Assembly","1","","","","","In Work","","","Yes","","","112128144","Bell Crank Assembly","mass-R1132101478896-00000598","A","","","No","0s","0","","","","False","","0kg","","06/14/2024","","06/14/2024","Engineering Definition","kverma8000","Company Name","Common Space","False","False","","","","","","Bell Crank Assembly.1","","06/14/2024","06/14/2024","kverma8000","Company Name","Common Space","False","","","","","","","","","","","","","","","",""
